"timeStamp","precinctId","countyName","voteType","candidate","votes","delta"
"2020-11-27 04:08:19.000","New/Former Resident","Adams","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Pauline","Adams","total","trumpd","170","170"
"2020-11-27 04:08:19.000","Pauline","Adams","total","bidenj","24","24"
"2020-11-27 04:08:19.000","Pauline","Adams","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","Roseland","Adams","total","trumpd","258","258"
"2020-11-27 04:08:19.000","Roseland","Adams","total","bidenj","29","29"
"2020-11-27 04:08:19.000","Roseland","Adams","total","jorgensenj","6","6"
"2020-11-27 04:08:19.000","Verona","Adams","total","trumpd","131","131"
"2020-11-27 04:08:19.000","Verona","Adams","total","bidenj","24","24"
"2020-11-27 04:08:19.000","Verona","Adams","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","WestBlue/Highland","Adams","total","trumpd","335","335"
"2020-11-27 04:08:19.000","WestBlue/Highland","Adams","total","bidenj","50","50"
"2020-11-27 04:08:19.000","WestBlue/Highland","Adams","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Brunswick Precinct","Antelope","total","trumpd","331","331"
"2020-11-27 04:08:19.000","Brunswick Precinct","Antelope","total","bidenj","34","34"
"2020-11-27 04:08:19.000","Brunswick Precinct","Antelope","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Clearwater Precinct","Antelope","total","trumpd","434","434"
"2020-11-27 04:08:19.000","Clearwater Precinct","Antelope","total","bidenj","39","39"
"2020-11-27 04:08:19.000","Clearwater Precinct","Antelope","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","Elgin 1st Ward","Antelope","total","trumpd","164","164"
"2020-11-27 04:08:19.000","Elgin 1st Ward","Antelope","total","bidenj","19","19"
"2020-11-27 04:08:19.000","Elgin 1st Ward","Antelope","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","Elgin 2nd Ward","Antelope","total","trumpd","190","190"
"2020-11-27 04:08:19.000","Elgin 2nd Ward","Antelope","total","bidenj","21","21"
"2020-11-27 04:08:19.000","Elgin 2nd Ward","Antelope","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Elgin Precinct","Antelope","total","trumpd","216","216"
"2020-11-27 04:08:19.000","Elgin Precinct","Antelope","total","bidenj","22","22"
"2020-11-27 04:08:19.000","Elgin Precinct","Antelope","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Neligh 1st Ward","Antelope","total","trumpd","361","361"
"2020-11-27 04:08:19.000","Neligh 1st Ward","Antelope","total","bidenj","60","60"
"2020-11-27 04:08:19.000","Neligh 1st Ward","Antelope","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Neligh 2nd Ward","Antelope","total","trumpd","285","285"
"2020-11-27 04:08:19.000","Neligh 2nd Ward","Antelope","total","bidenj","69","69"
"2020-11-27 04:08:19.000","Neligh 2nd Ward","Antelope","total","jorgensenj","7","7"
"2020-11-27 04:08:19.000","Neligh Precinct","Antelope","total","trumpd","234","234"
"2020-11-27 04:08:19.000","Neligh Precinct","Antelope","total","bidenj","41","41"
"2020-11-27 04:08:19.000","Neligh Precinct","Antelope","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","New/Former Resident","Antelope","total","trumpd","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Antelope","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Antelope","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Oakdale Precinct","Antelope","total","trumpd","236","236"
"2020-11-27 04:08:19.000","Oakdale Precinct","Antelope","total","bidenj","31","31"
"2020-11-27 04:08:19.000","Oakdale Precinct","Antelope","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","Orchard Precinct","Antelope","total","trumpd","270","270"
"2020-11-27 04:08:19.000","Orchard Precinct","Antelope","total","bidenj","44","44"
"2020-11-27 04:08:19.000","Orchard Precinct","Antelope","total","jorgensenj","5","5"
"2020-11-27 04:08:19.000","Royal Precinct","Antelope","total","trumpd","118","118"
"2020-11-27 04:08:19.000","Royal Precinct","Antelope","total","bidenj","15","15"
"2020-11-27 04:08:19.000","Royal Precinct","Antelope","total","jorgensenj","1","1"
"2020-11-27 04:08:19.000","Tilden 1st Ward","Antelope","total","trumpd","114","114"
"2020-11-27 04:08:19.000","Tilden 1st Ward","Antelope","total","bidenj","32","32"
"2020-11-27 04:08:19.000","Tilden 1st Ward","Antelope","total","jorgensenj","1","1"
"2020-11-27 04:08:19.000","Tilden Precinct","Antelope","total","trumpd","140","140"
"2020-11-27 04:08:19.000","Tilden Precinct","Antelope","total","bidenj","25","25"
"2020-11-27 04:08:19.000","Tilden Precinct","Antelope","total","jorgensenj","1","1"
"2020-11-27 04:08:19.000","Arthur","Arthur","total","trumpd","260","260"
"2020-11-27 04:08:19.000","Arthur","Arthur","total","bidenj","21","21"
"2020-11-27 04:08:19.000","Arthur","Arthur","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","New/Former Resident","Arthur","total","trumpd","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Arthur","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Arthur","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Long Springs","Banner","total","trumpd","362","362"
"2020-11-27 04:08:19.000","Long Springs","Banner","total","bidenj","43","43"
"2020-11-27 04:08:19.000","Long Springs","Banner","total","jorgensenj","5","5"
"2020-11-27 04:08:19.000","New/Former Resident","Banner","total","trumpd","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Banner","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Banner","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Blaine","Blaine","total","trumpd","280","280"
"2020-11-27 04:08:19.000","Blaine","Blaine","total","bidenj","35","35"
"2020-11-27 04:08:19.000","Blaine","Blaine","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","New/Former Resident","Blaine","total","trumpd","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Blaine","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Blaine","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Beaver","Boone","total","trumpd","347","347"
"2020-11-27 04:08:19.000","Beaver","Boone","total","bidenj","57","57"
"2020-11-27 04:08:19.000","Beaver","Boone","total","jorgensenj","11","11"
"2020-11-27 04:08:19.000","Boone","Boone","total","trumpd","131","131"
"2020-11-27 04:08:19.000","Boone","Boone","total","bidenj","14","14"
"2020-11-27 04:08:19.000","Boone","Boone","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","Cedar","Boone","total","trumpd","262","262"
"2020-11-27 04:08:19.000","Cedar","Boone","total","bidenj","81","81"
"2020-11-27 04:08:19.000","Cedar","Boone","total","jorgensenj","5","5"
"2020-11-27 04:08:19.000","Dublin-Bonanza","Boone","total","trumpd","123","123"
"2020-11-27 04:08:19.000","Dublin-Bonanza","Boone","total","bidenj","27","27"
"2020-11-27 04:08:19.000","Dublin-Bonanza","Boone","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","New/Former Resident","Boone","total","trumpd","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Boone","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Boone","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","North Branch-Shell Creek","Boone","total","trumpd","83","83"
"2020-11-27 04:08:19.000","North Branch-Shell Creek","Boone","total","bidenj","12","12"
"2020-11-27 04:08:19.000","North Branch-Shell Creek","Boone","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","North Manchester","Boone","total","trumpd","394","394"
"2020-11-27 04:08:19.000","North Manchester","Boone","total","bidenj","76","76"
"2020-11-27 04:08:19.000","North Manchester","Boone","total","jorgensenj","8","8"
"2020-11-27 04:08:19.000","Oakland","Boone","total","trumpd","371","371"
"2020-11-27 04:08:19.000","Oakland","Boone","total","bidenj","60","60"
"2020-11-27 04:08:19.000","Oakland","Boone","total","jorgensenj","8","8"
"2020-11-27 04:08:19.000","Southeast Manchester","Boone","total","trumpd","459","459"
"2020-11-27 04:08:19.000","Southeast Manchester","Boone","total","bidenj","105","105"
"2020-11-27 04:08:19.000","Southeast Manchester","Boone","total","jorgensenj","18","18"
"2020-11-27 04:08:19.000","Southwest Manchester","Boone","total","trumpd","483","483"
"2020-11-27 04:08:19.000","Southwest Manchester","Boone","total","bidenj","67","67"
"2020-11-27 04:08:19.000","Southwest Manchester","Boone","total","jorgensenj","10","10"
"2020-11-27 04:08:19.000","New/Former Resident","Box Butte","total","trumpd","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Box Butte","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Box Butte","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Precinct 1","Box Butte","total","trumpd","378","378"
"2020-11-27 04:08:19.000","Precinct 1","Box Butte","total","bidenj","149","149"
"2020-11-27 04:08:19.000","Precinct 1","Box Butte","total","jorgensenj","19","19"
"2020-11-27 04:08:19.000","Precinct 11","Box Butte","total","trumpd","313","313"
"2020-11-27 04:08:19.000","Precinct 11","Box Butte","total","bidenj","41","41"
"2020-11-27 04:08:19.000","Precinct 11","Box Butte","total","jorgensenj","9","9"
"2020-11-27 04:08:19.000","Precinct 12","Box Butte","total","trumpd","314","314"
"2020-11-27 04:08:19.000","Precinct 12","Box Butte","total","bidenj","42","42"
"2020-11-27 04:08:19.000","Precinct 12","Box Butte","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Precinct 15","Box Butte","total","trumpd","641","641"
"2020-11-27 04:08:19.000","Precinct 15","Box Butte","total","bidenj","98","98"
"2020-11-27 04:08:19.000","Precinct 15","Box Butte","total","jorgensenj","11","11"
"2020-11-27 04:08:19.000","Precinct 2","Box Butte","total","trumpd","438","438"
"2020-11-27 04:08:19.000","Precinct 2","Box Butte","total","bidenj","135","135"
"2020-11-27 04:08:19.000","Precinct 2","Box Butte","total","jorgensenj","17","17"
"2020-11-27 04:08:19.000","Precinct 3","Box Butte","total","trumpd","338","338"
"2020-11-27 04:08:19.000","Precinct 3","Box Butte","total","bidenj","120","120"
"2020-11-27 04:08:19.000","Precinct 3","Box Butte","total","jorgensenj","18","18"
"2020-11-27 04:08:19.000","Precinct 4","Box Butte","total","trumpd","451","451"
"2020-11-27 04:08:19.000","Precinct 4","Box Butte","total","bidenj","132","132"
"2020-11-27 04:08:19.000","Precinct 4","Box Butte","total","jorgensenj","25","25"
"2020-11-27 04:08:19.000","Precinct 5","Box Butte","total","trumpd","627","627"
"2020-11-27 04:08:19.000","Precinct 5","Box Butte","total","bidenj","155","155"
"2020-11-27 04:08:19.000","Precinct 5","Box Butte","total","jorgensenj","14","14"
"2020-11-27 04:08:19.000","Precinct 6","Box Butte","total","trumpd","502","502"
