"sid","state_abbr","state_name","time_origin_ms"
1,"FL","Florida",1604291021048
2,"GA","Georgia",1604207645096
3,"MI","Michigan",1604461171715
4,"NC","North Carolina",1604089141425
5,"PA","Pennsylvania",1604461188428
