"sid","cid","county_name","county_fips"
17,1,"ADAIR","40001"
17,2,"ALFALFA","40003"
17,3,"ATOKA","40005"
17,4,"BEAVER","40007"
17,5,"BECKHAM","40009"
17,6,"BLAINE","40011"
17,7,"BRYAN","40013"
17,8,"CADDO","40015"
17,9,"CANADIAN","40017"
17,10,"CARTER","40019"
17,11,"CHEROKEE","40021"
17,12,"CHOCTAW","40023"
17,13,"CIMARRON","40025"
17,14,"CLEVELAND","40027"
17,15,"COAL","40029"
17,16,"COMANCHE","40031"
17,17,"COTTON","40033"
17,18,"CRAIG","40035"
17,19,"CREEK","40037"
17,20,"CUSTER","40039"
17,21,"DELAWARE","40041"
17,22,"DEWEY","40043"
17,23,"ELLIS","40045"
17,24,"GARFIELD","40047"
17,25,"GARVIN","40049"
17,26,"GRADY","40051"
17,27,"GRANT","40053"
17,28,"GREER","40055"
17,29,"HARMON","40057"
17,30,"HARPER","40059"
17,31,"HASKELL","40061"
17,32,"HUGHES","40063"
17,33,"JACKSON","40065"
17,34,"JEFFERSON","40067"
17,35,"JOHNSTON","40069"
17,36,"KAY","40071"
17,37,"KINGFISHER","40073"
17,38,"KIOWA","40075"
17,39,"LATIMER","40077"
17,40,"LE FLORE","40079"
17,41,"LINCOLN","40081"
17,42,"LOGAN","40083"
17,43,"LOVE","40085"
17,44,"MAJOR","40093"
17,45,"MARSHALL","40095"
17,46,"MAYES","40097"
17,47,"MCCLAIN","40087"
17,48,"MCCURTAIN","40089"
17,49,"MCINTOSH","40091"
17,50,"MURRAY","40099"
17,51,"MUSKOGEE","40101"
17,52,"NOBLE","40103"
17,53,"NOWATA","40105"
17,54,"OKFUSKEE","40107"
17,55,"OKLAHOMA","40109"
17,56,"OKMULGEE","40111"
17,57,"OSAGE","40113"
17,58,"OTTAWA","40115"
17,59,"PAWNEE","40117"
17,60,"PAYNE","40119"
17,61,"PITTSBURG","40121"
17,62,"PONTOTOC","40123"
17,63,"POTTAWATOMIE","40125"
17,64,"PUSHMATAHA","40127"
17,65,"ROGER MILLS","40129"
17,66,"ROGERS","40131"
17,67,"SEMINOLE","40133"
17,68,"SEQUOYAH","40135"
17,69,"STEPHENS","40137"
17,70,"TEXAS","40139"
17,71,"TILLMAN","40141"
17,72,"TULSA","40143"
17,73,"WAGONER","40145"
17,74,"WASHINGTON","40147"
17,75,"WASHITA","40147"
17,76,"WOODS","40151"
17,77,"WOODWARD","40153"
