"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,19,1,1,1,1294,866,418,10
0,19,1,2,1,1101,375,721,5
0,19,1,3,1,938,483,442,13
0,19,1,4,1,656,446,207,3
0,19,1,5,1,951,763,181,7
0,19,1,6,1,390,304,85,1
0,19,1,7,1,1196,524,661,11
0,19,1,8,1,778,622,145,11
0,19,1,9,1,422,344,71,7
0,19,1,10,1,1134,758,359,17
0,19,1,11,1,0,0,0,0
0,19,1,12,1,20,8,12,0
0,19,1,13,1,470,316,151,3
0,19,1,14,1,904,716,178,10
0,19,1,15,1,608,459,144,5
0,19,1,16,1,852,722,123,7
0,19,1,17,1,0,0,0,0
0,19,1,18,1,719,509,203,7
0,19,2,19,1,1003,616,370,17
0,19,2,20,1,786,185,588,13
0,19,2,21,1,988,133,842,13
0,19,2,22,1,438,69,366,3
0,19,2,23,1,828,461,351,16
0,19,2,24,1,897,333,549,15
0,19,2,25,1,1020,596,405,19
0,19,2,26,1,1749,1164,567,18
0,19,2,27,1,720,476,236,8
0,19,2,28,1,978,675,288,15
0,19,2,29,1,545,299,239,7
0,19,2,30,1,1122,512,595,15
0,19,2,31,1,972,561,384,27
0,19,2,32,1,898,413,475,10
0,19,2,33,1,467,302,158,7
0,19,2,34,1,1055,540,490,25
0,19,2,35,1,1957,1107,830,20
0,19,2,36,1,764,278,476,10
0,19,2,37,1,1475,1021,440,14
0,19,2,38,1,1044,355,668,21
0,19,2,39,1,457,239,209,9
0,19,2,40,1,1303,842,434,27
0,19,2,41,1,1001,623,367,11
0,19,2,42,1,1146,802,330,14
0,19,2,43,1,56,27,28,1
0,19,2,44,1,25,16,8,1
0,19,2,45,1,1164,836,310,18
0,19,2,46,1,1112,822,267,23
0,19,2,47,1,1051,748,291,12
0,19,2,48,1,1233,810,407,16
0,19,2,49,1,697,520,165,12
0,19,2,50,1,733,460,263,10
0,19,2,51,1,959,573,372,14
0,19,2,52,1,750,489,252,9
0,19,2,53,1,826,499,315,12
0,19,2,54,1,1114,758,345,11
0,19,2,55,1,1132,876,250,6
0,19,2,56,1,798,600,190,8
0,19,2,57,1,937,484,431,22
0,19,2,58,1,719,396,310,13
0,19,2,59,1,514,250,241,23
0,19,2,60,1,602,463,128,11
0,19,2,61,1,1790,1150,616,24
0,19,2,62,1,1523,1063,441,19
0,19,2,63,1,1469,904,541,24
0,19,2,64,1,1453,853,579,21
0,19,2,65,1,795,459,321,15
0,19,2,66,1,1436,883,532,21
0,19,2,67,1,751,469,269,13
0,19,2,68,1,1030,583,425,22
0,19,2,69,1,734,367,349,18
0,19,2,70,1,1238,986,233,19
0,19,2,71,1,892,618,257,17
0,19,2,72,1,1171,669,463,39
0,19,2,73,1,769,347,406,16
0,19,2,74,1,760,517,236,7
0,19,2,75,1,1031,735,275,21
0,19,2,76,1,1916,1323,564,29
0,19,2,77,1,653,452,187,14
0,19,2,78,1,1132,565,546,21
0,19,2,79,1,577,431,138,8
0,19,2,80,1,766,572,175,19
0,19,2,81,1,627,438,182,7
0,19,2,82,1,1357,1012,326,19
0,19,2,83,1,22,15,6,1
0,19,2,84,1,875,578,282,15
0,19,2,85,1,502,239,260,3
0,19,2,86,1,981,579,371,31
0,19,2,87,1,687,402,282,3
0,19,2,88,1,531,359,165,7
0,19,2,89,1,1420,972,428,20
0,19,2,90,1,1374,617,737,20
0,19,2,91,1,1166,675,477,14
0,19,2,92,1,834,112,713,9
0,19,2,93,1,1572,1133,421,18
0,19,2,94,1,1410,878,505,27
0,19,2,95,1,1763,1113,624,26
0,19,2,96,1,507,258,242,7
0,19,2,97,1,1366,811,539,16
0,19,2,98,1,1492,858,606,28
