"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,7,2,140,1,601,316,274,11
0,7,2,141,1,5780,3191,2508,81
0,7,2,142,1,3146,1553,1550,43
0,7,2,143,1,2377,1234,1094,49
0,7,2,144,1,12,3,9,0
0,7,2,145,1,699,346,336,17
0,7,2,146,1,4274,2102,2111,61
0,7,2,147,1,4472,2186,2202,84
0,7,2,148,1,126,49,75,2
0,7,2,149,1,99,44,53,2
0,7,2,150,1,5815,2998,2702,115
0,7,2,151,1,3379,1772,1532,75
0,7,2,152,1,498,259,232,7
0,7,2,153,1,3622,1861,1696,65
0,7,2,154,1,4608,2467,2047,94
0,7,2,155,1,2032,1028,952,52
0,7,2,156,1,3376,1704,1595,77
0,7,2,157,1,3339,1758,1532,49
0,7,2,158,1,222,94,125,3
0,7,2,159,1,420,256,156,8
0,7,2,160,1,1285,676,574,35
0,7,2,161,1,3691,1795,1792,104
0,7,2,162,1,2904,1327,1513,64
0,7,2,163,1,4541,2187,2243,111
0,7,2,164,1,2869,1502,1294,73
0,7,2,165,1,3356,2008,1265,83
0,7,2,166,1,1272,681,552,39
0,7,2,167,1,49,24,22,3
0,7,2,168,1,2493,1512,898,83
0,7,2,169,1,49,30,19,0
0,7,2,170,1,655,396,241,18
0,7,2,171,1,2822,1620,1135,67
0,7,2,172,1,3364,1913,1387,64
0,7,2,173,1,1345,693,622,30
0,7,2,174,1,2243,1336,857,50
0,7,2,175,1,2127,1258,824,45
0,7,2,176,1,2229,770,1409,50
0,7,2,177,1,3107,1591,1434,82
0,7,2,178,1,2478,1447,969,62
0,7,2,179,1,986,637,329,20
0,7,2,180,1,2683,1704,919,60
0,7,2,181,1,916,608,297,11
0,7,2,182,1,3547,2215,1260,72
0,7,2,183,1,3082,1956,1049,77
0,7,2,184,1,3755,2399,1267,89
0,7,2,185,1,2014,1303,666,45
0,7,2,186,1,3352,2265,1025,62
0,7,2,187,1,2798,1896,854,48
0,7,2,188,1,652,474,166,12
0,7,2,189,1,1371,975,362,34
0,7,2,190,1,3298,2175,1022,101
0,7,2,191,1,4654,2990,1546,118
0,7,2,192,1,5049,3380,1550,119
0,7,2,193,1,188,137,49,2
0,7,2,194,1,1739,1201,516,22
0,7,2,195,1,2370,1503,823,44
0,7,2,196,1,1230,856,354,20
