"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,17,5,59,2,99,88,10,1
0,17,5,59,3,298,281,16,1
0,17,5,60,1,91,62,29,0
0,17,5,60,2,160,124,32,4
0,17,5,60,3,747,640,91,16
0,17,5,61,1,81,57,23,1
0,17,5,61,2,134,113,18,3
0,17,5,61,3,671,531,119,21
0,17,5,62,1,18,10,8,0
0,17,5,62,2,37,31,6,0
0,17,5,62,3,114,105,8,1
0,17,6,63,1,57,42,14,1
0,17,6,63,2,23,17,6,0
0,17,6,63,3,598,532,55,11
0,17,6,64,1,42,27,15,0
0,17,6,64,2,34,30,3,1
0,17,6,64,3,576,491,74,11
0,17,6,65,1,27,18,8,1
0,17,6,65,2,74,59,13,2
0,17,6,65,3,234,181,49,4
0,17,6,66,1,11,3,6,2
0,17,6,66,2,67,36,31,0
0,17,6,66,3,193,111,79,3
0,17,6,67,1,85,58,25,2
0,17,6,67,2,291,251,37,3
0,17,6,67,3,593,472,105,16
0,17,6,68,1,6,3,2,1
0,17,6,68,2,21,15,6,0
0,17,6,68,3,128,111,17,0
0,17,6,69,1,27,14,13,0
0,17,6,69,2,28,22,6,0
0,17,6,69,3,450,335,99,16
0,17,6,70,1,17,16,1,0
0,17,6,70,2,6,4,1,1
0,17,6,70,3,259,239,19,1
0,17,6,71,1,0,0,0,0
0,17,6,71,2,6,5,1,0
0,17,6,71,3,48,44,3,1
0,17,7,72,1,98,34,59,5
0,17,7,72,2,168,91,75,2
0,17,7,72,3,563,394,146,23
0,17,7,73,1,105,35,69,1
0,17,7,73,2,153,113,38,2
0,17,7,73,3,594,471,110,13
0,17,7,74,1,108,42,62,4
0,17,7,74,2,172,112,59,1
0,17,7,74,3,653,462,169,22
0,17,7,75,1,158,73,82,3
0,17,7,75,2,184,121,63,0
0,17,7,75,3,616,451,141,24
0,17,7,76,1,33,15,17,1
0,17,7,76,2,44,38,6,0
0,17,7,76,3,467,377,81,9
0,17,7,77,1,3,0,3,0
0,17,7,77,2,7,6,0,1
0,17,7,77,3,210,181,27,2
0,17,7,78,1,31,22,9,0
0,17,7,78,2,38,28,10,0
0,17,7,78,3,511,447,57,7
0,17,7,79,1,12,5,7,0
0,17,7,79,2,33,26,6,1
0,17,7,79,3,320,278,32,10
0,17,7,80,1,49,20,29,0
0,17,7,80,2,42,37,5,0
0,17,7,80,3,540,462,72,6
0,17,7,81,1,27,10,17,0
0,17,7,81,2,12,10,2,0
0,17,7,81,3,459,374,74,11
0,17,7,82,1,74,32,40,2
0,17,7,82,2,101,83,15,3
0,17,7,82,3,802,672,115,15
0,17,7,83,1,78,42,33,3
0,17,7,83,2,122,99,23,0
0,17,7,83,3,676,559,106,11
0,17,7,84,1,61,28,33,0
0,17,7,84,2,36,35,1,0
0,17,7,84,3,524,422,92,10
0,17,7,85,1,72,38,31,3
0,17,7,85,2,67,60,7,0
0,17,7,85,3,614,528,80,6
0,17,7,86,1,79,33,44,2
0,17,7,86,2,95,76,19,0
