"sid","cid","county_name","county_fips"
19,1,"ABBEVILLE","unknown"
19,2,"AIKEN","unknown"
19,3,"ALLENDALE","unknown"
19,4,"ANDERSON","unknown"
19,5,"BAMBERG","unknown"
19,6,"BARNWELL","unknown"
19,7,"BEAUFORT","unknown"
19,8,"BERKELEY","unknown"
19,9,"CALHOUN","unknown"
19,10,"CHARLESTON","unknown"
19,11,"CHEROKEE","unknown"
19,12,"CHESTER","unknown"
19,13,"CHESTERFIELD","unknown"
19,14,"CLARENDON","unknown"
19,15,"COLLETON","unknown"
19,16,"DARLINGTON","unknown"
19,17,"DILLON","unknown"
19,18,"DORCHESTER","unknown"
19,19,"EDGEFIELD","unknown"
19,20,"FAIRFIELD","unknown"
19,21,"FLORENCE","unknown"
19,22,"GEORGETOWN","unknown"
19,23,"GREENVILLE","unknown"
19,24,"GREENWOOD","unknown"
19,25,"HAMPTON","unknown"
19,26,"HORRY","unknown"
19,27,"JASPER","unknown"
19,28,"KERSHAW","unknown"
19,29,"LANCASTER","unknown"
19,30,"LAURENS","unknown"
19,31,"LEE","unknown"
19,32,"LEXINGTON","unknown"
19,33,"MARION","unknown"
19,34,"MARLBORO","unknown"
19,35,"MCCORMICK","unknown"
19,36,"NEWBERRY","unknown"
19,37,"OCONEE","unknown"
19,38,"ORANGEBURG","unknown"
19,39,"PICKENS","unknown"
19,40,"RICHLAND","unknown"
19,41,"SALUDA","unknown"
19,42,"SPARTANBURG","unknown"
19,43,"SUMTER","unknown"
19,44,"UNION","unknown"
19,45,"WILLIAMSBURG","unknown"
19,46,"YORK","unknown"
