"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,3,1,1,1,357,72,279,6
0,3,1,2,1,40,9,31,0
0,3,1,3,1,1219,372,799,48
0,3,1,4,1,916,187,699,30
0,3,1,5,1,963,212,723,28
0,3,1,6,1,337,49,282,6
0,3,1,7,1,1156,271,841,44
0,3,1,8,1,1445,801,602,42
0,3,1,9,1,1298,687,581,30
0,3,1,10,1,796,419,355,22
0,3,1,11,1,1186,584,572,30
0,3,1,12,1,599,279,297,23
0,3,1,13,1,1189,657,504,28
0,3,1,14,1,824,431,371,22
0,3,1,15,1,1482,832,612,38
0,3,1,16,1,834,416,381,37
0,3,1,17,1,730,330,383,17
0,3,1,18,1,1123,544,557,22
0,3,1,19,1,1042,509,503,30
0,3,1,20,1,554,232,317,5
0,3,1,21,1,687,353,322,12
0,3,1,22,1,1125,579,514,32
0,3,1,23,1,832,376,427,29
0,3,1,24,1,53,14,39,0
0,3,1,25,1,355,176,173,6
0,3,1,26,1,845,443,388,14
0,3,1,27,1,889,463,400,26
0,3,1,28,1,190,60,128,2
0,3,1,29,1,996,762,206,28
0,3,1,30,1,1342,1040,255,47
0,3,1,31,1,1492,1196,269,27
0,3,1,32,1,1545,1194,303,48
0,3,1,33,1,1224,898,297,29
0,3,1,34,1,943,646,275,22
0,3,1,35,1,544,400,127,17
0,3,1,36,1,1078,731,323,24
0,3,1,37,1,805,549,233,23
0,3,1,38,1,1047,673,344,30
0,3,1,39,1,959,608,320,31
0,3,1,40,1,1006,719,264,23
0,3,1,41,1,447,132,303,12
0,3,1,42,1,923,258,655,10
0,3,1,43,1,462,378,70,14
0,3,1,44,1,862,653,186,23
0,3,1,45,1,953,472,455,26
0,3,1,46,1,340,119,216,5
0,3,1,47,1,944,330,604,10
0,3,1,48,1,597,190,386,21
0,3,1,49,1,496,180,308,8
0,3,1,50,1,1618,770,840,8
0,3,1,51,1,473,133,326,14
0,3,1,52,1,577,206,363,8
0,3,1,53,1,707,329,362,16
0,3,1,54,1,472,165,297,10
0,3,1,55,1,1098,612,453,33
0,3,1,56,1,1208,623,540,45
0,3,1,57,1,249,121,125,3
0,3,1,58,1,81,32,49,0
0,3,1,59,1,462,159,288,15
0,3,1,60,1,1295,540,712,43
0,3,1,61,1,463,179,271,13
0,3,1,62,1,503,174,311,18
0,3,1,63,1,42,24,18,0
0,3,1,64,1,98,47,49,2
0,3,1,65,1,931,385,512,34
0,3,1,66,1,1161,531,596,34
0,3,1,67,1,760,340,397,23
0,3,1,68,1,336,139,181,16
0,3,1,69,1,312,133,167,12
0,3,1,70,1,579,233,331,15
0,3,1,71,1,1153,512,612,29
0,3,1,72,1,920,430,464,26
0,3,1,73,1,740,305,422,13
0,3,1,74,1,731,290,421,20
0,3,1,75,1,1062,432,594,36
0,3,1,76,1,1294,656,600,38
0,3,1,77,1,782,453,308,21
0,3,1,78,1,1048,536,469,43
0,3,1,79,1,409,171,223,15
0,3,1,80,1,468,218,242,8
0,3,1,81,1,179,89,82,8
0,3,1,82,1,320,149,159,12
0,3,1,83,1,765,288,464,13
0,3,1,84,1,334,106,223,5
0,3,1,85,1,897,295,586,16
0,3,1,86,1,845,183,647,15
0,3,1,87,1,260,146,106,8
0,3,1,88,1,647,372,255,20
0,3,1,89,1,1121,654,423,44
0,3,1,90,1,773,347,409,17
0,3,1,91,1,114,26,84,4
0,3,1,92,1,442,224,211,7
0,3,1,93,1,597,286,295,16
0,3,1,94,1,645,296,335,14
0,3,1,95,1,656,344,297,15
0,3,1,96,1,1220,618,569,33
0,3,1,97,1,1266,613,619,34
0,3,1,98,1,665,353,290,22
0,3,1,99,1,1693,924,716,53
0,3,1,100,1,383,181,198,4
0,3,1,101,1,672,346,308,18
0,3,1,102,1,866,521,313,32
0,3,1,103,1,1038,580,432,26
0,3,1,104,1,1130,503,592,35
0,3,1,105,1,203,70,122,11
0,3,1,106,1,1410,939,422,49
0,3,1,107,1,836,522,282,32
0,3,1,108,1,1198,900,268,30
0,3,1,109,1,1482,1097,350,35
0,3,1,110,1,890,646,222,22
0,3,1,111,1,792,531,243,18
0,3,1,112,1,1367,968,360,39
0,3,1,113,1,923,668,237,18
0,3,1,114,1,1104,678,404,22
0,3,1,115,1,932,615,292,25
0,3,1,116,1,857,565,278,14
0,3,1,117,1,1225,820,370,35
0,3,1,118,1,1190,774,378,38
0,3,1,119,1,903,623,257,23
0,3,1,120,1,1102,702,359,41
0,3,1,121,1,1117,727,348,42
0,3,1,122,1,982,613,341,28
0,3,1,123,1,622,399,204,19
0,3,1,124,1,1151,792,334,25
0,3,1,125,1,1146,818,309,19
0,3,1,126,1,731,483,230,18
0,3,1,127,1,1285,855,387,43
0,3,1,128,1,815,505,279,31
0,3,1,129,1,1321,852,432,37
0,3,1,130,1,1129,700,400,29
0,3,1,131,1,525,304,194,27
0,3,1,132,1,874,504,339,31
0,3,1,133,1,1479,825,612,42
0,3,1,134,1,860,494,348,18
0,3,1,135,1,793,408,361,24
0,3,1,136,1,548,337,202,9
0,3,1,137,1,226,136,86,4
0,3,1,138,1,469,270,182,17
0,3,1,139,1,377,210,156,11
0,3,1,140,1,0,0,0,0
0,3,1,141,1,40,12,24,4
0,3,1,142,1,693,451,231,11
0,3,1,143,1,532,347,169,16
0,3,1,144,1,1078,844,210,24
0,3,1,145,1,659,450,191,18
0,3,1,146,1,863,510,319,34
0,3,1,147,1,855,528,307,20
0,3,1,148,1,795,411,368,16
0,3,1,149,1,934,610,289,35
0,3,1,150,1,1221,808,376,37
0,3,1,151,1,1455,983,424,48
0,3,1,152,1,1058,653,375,30
0,3,1,153,1,1444,940,465,39
0,3,1,154,1,1051,653,366,32
0,3,1,155,1,1207,771,397,39
0,3,1,156,1,1066,666,358,42
0,3,1,157,1,924,568,325,31
0,3,1,158,1,930,583,316,31
0,3,1,159,1,703,453,228,22
0,3,1,160,1,1042,735,272,35
0,3,1,161,1,1171,782,358,31
0,3,1,162,1,1145,759,356,30
0,3,1,163,1,1574,1058,474,42
0,3,1,164,1,537,276,242,19
0,3,1,165,1,807,410,372,25
0,3,1,166,1,1128,620,477,31
0,3,1,167,1,1011,508,472,31
0,3,1,168,1,1256,706,516,34
0,3,1,169,1,1161,666,454,41
0,3,1,170,1,1362,728,581,53
0,3,1,171,1,1176,578,562,36
0,3,1,172,1,1059,555,476,28
0,3,1,173,1,158,100,52,6
0,3,1,174,1,1303,702,545,56
0,3,1,175,1,1335,688,604,43
0,3,1,176,1,1018,512,471,35
0,3,1,177,1,1442,773,625,44
0,3,1,178,1,1430,789,602,39
0,3,1,179,1,1024,593,386,45
0,3,1,180,1,1567,842,677,48
0,3,1,181,1,1069,541,490,38
0,3,1,182,1,745,491,237,17
0,3,1,183,1,1321,773,491,57
0,3,1,184,1,947,563,351,33
0,3,1,185,1,994,515,440,39
0,3,1,186,1,984,609,342,33
0,3,1,187,1,1422,768,609,45
0,3,1,188,1,1529,951,528,50
0,3,1,189,1,1115,600,486,29
0,3,1,190,1,977,490,467,20
0,3,1,191,1,991,545,412,34
0,3,1,192,1,955,542,382,31
0,3,1,193,1,1095,599,468,28
0,3,1,194,1,676,338,319,19
0,3,1,195,1,1209,690,467,52
0,3,1,196,1,1091,684,367,40
0,3,1,197,1,1069,662,373,34
0,3,1,198,1,1266,653,579,34
0,3,1,199,1,1185,639,506,40
0,3,1,200,1,974,515,420,39
0,3,1,201,1,1015,560,430,25
0,3,1,202,1,724,413,284,27
0,3,1,203,1,1144,645,448,51
0,3,1,204,1,1179,721,419,39
0,3,1,205,1,1074,616,425,33
0,3,1,206,1,547,349,174,24
0,3,1,207,1,1025,599,397,29
0,3,1,208,1,1320,787,494,39
0,3,1,209,1,1019,618,367,34
0,3,1,210,1,1511,957,514,40
0,3,1,211,1,1119,674,416,29
0,3,1,212,1,979,611,349,19
0,3,1,213,1,953,585,345,23
0,3,1,214,1,690,404,268,18
0,3,1,215,1,729,392,329,8
0,3,1,216,1,1075,648,399,28
0,3,1,217,1,855,484,353,18
0,3,1,218,1,1098,621,449,28
0,3,1,219,1,910,526,354,30
0,3,1,220,1,829,481,331,17
0,3,1,221,1,817,448,355,14
0,3,1,222,1,1305,776,485,44
0,3,1,223,1,949,573,355,21
0,3,1,224,1,1137,822,273,42
0,3,1,225,1,1057,668,364,25
0,3,1,226,1,1087,559,500,28
0,3,1,227,1,1188,728,432,28
0,3,1,228,1,1148,623,501,24
0,3,1,229,1,1153,670,456,27
0,3,1,230,1,1379,865,467,47
0,3,1,231,1,1032,636,358,38
0,3,1,232,1,390,223,155,12
0,3,1,233,1,569,316,247,6
0,3,1,234,1,1229,745,437,47
0,3,1,235,1,1244,658,559,27
0,3,1,236,1,927,437,472,18
0,3,1,237,1,645,386,238,21
0,3,1,238,1,1394,907,428,59
0,3,1,239,1,796,413,349,34
0,3,1,240,1,348,188,148,12
0,3,1,241,1,1010,464,526,20
0,3,1,242,1,964,531,403,30
0,3,1,243,1,1282,666,569,47
0,3,1,244,1,883,492,361,30
0,3,1,245,1,1545,966,530,49
0,3,1,246,1,1293,760,496,37
0,3,1,247,1,1320,802,475,43
0,3,1,248,1,1124,684,407,33
0,3,1,249,1,819,512,285,22
0,3,1,250,1,1068,642,388,38
0,3,1,251,1,959,649,270,40
0,3,1,252,1,1070,659,377,34
0,3,1,253,1,938,597,311,30
0,3,1,254,1,987,606,353,28
0,3,1,255,1,619,367,231,21
0,3,1,256,1,1285,738,518,29
0,3,1,257,1,655,450,175,30
0,3,1,258,1,826,534,264,28
0,3,1,259,1,1176,805,325,46
0,3,1,260,1,0,0,0,0
0,3,2,261,1,669,442,197,30
0,3,2,262,1,633,380,225,28
0,3,2,263,1,1396,708,645,43
0,3,2,264,1,1559,648,854,57
0,3,2,265,1,663,195,458,10
0,3,2,266,1,773,450,302,21
0,3,2,267,1,1419,746,635,38
0,3,2,268,1,696,190,497,9
0,3,3,269,1,1108,688,374,46
0,3,3,270,1,1015,604,372,39
0,3,3,271,1,589,365,196,28
0,3,3,272,1,564,422,126,16
0,3,3,273,1,1466,1076,337,53
0,3,3,274,1,540,415,106,19
0,3,3,275,1,849,618,211,20
0,3,3,276,1,652,471,165,16
0,3,3,277,1,628,473,142,13
0,3,3,278,1,497,347,134,16
0,3,3,279,1,1122,817,277,28
0,3,3,280,1,841,596,218,27
0,3,3,281,1,642,397,236,9
0,3,3,282,1,828,629,164,35
0,3,3,283,1,990,674,292,24
0,3,3,284,1,1123,689,396,38
0,3,3,285,1,1110,788,291,31
0,3,3,286,1,789,584,182,23
0,3,3,287,1,776,485,264,27
0,3,3,288,1,674,466,182,26
0,3,3,289,1,533,343,172,18
0,3,3,290,1,684,399,262,23
0,3,3,291,1,890,537,323,30
0,3,3,292,1,977,625,316,36
0,3,3,293,1,535,382,125,28
0,3,3,294,1,600,335,250,15
0,3,3,295,1,901,559,309,33
0,3,3,296,1,966,483,471,12
0,3,3,297,1,984,470,502,12
0,3,3,298,1,908,415,478,15
0,3,3,299,1,524,340,171,13
0,3,3,300,1,367,204,152,11
0,3,3,301,1,845,550,283,12
0,3,3,302,1,442,244,186,12
0,3,3,303,1,461,249,203,9
0,3,3,304,1,865,614,226,25
0,3,3,305,1,391,278,105,8
0,3,3,306,1,668,487,166,15
0,3,3,307,1,30,14,15,1
0,3,3,308,1,1241,961,235,45
0,3,3,309,1,1096,872,187,37
0,3,3,310,1,8,4,4,0
0,3,3,311,1,10,2,8,0
0,3,3,312,1,2,0,2,0
0,3,3,313,1,2,2,0,0
0,3,3,314,1,1054,282,746,26
0,3,3,315,1,1148,224,894,30
0,3,3,316,1,1312,271,1004,37
0,3,3,317,1,744,144,581,19
0,3,3,318,1,909,245,650,14
0,3,3,319,1,604,389,192,23
0,3,3,320,1,109,70,35,4
0,3,3,321,1,412,258,143,11
0,3,3,322,1,702,425,251,26
0,3,3,323,1,1303,822,429,52
0,3,3,324,1,696,421,260,15
0,3,3,325,1,735,468,242,25
0,3,3,326,1,355,179,168,8
0,3,3,327,1,349,178,166,5
0,3,3,328,1,705,324,362,19
0,3,3,329,1,1478,664,793,21
0,3,3,330,1,1071,578,471,22
0,3,3,331,1,1117,715,375,27
0,3,3,332,1,1453,901,519,33
0,3,3,333,1,1239,757,456,26
0,3,3,334,1,789,519,258,12
0,3,3,335,1,1485,825,639,21
0,3,3,336,1,407,250,150,7
0,3,3,337,1,866,488,358,20
0,3,3,338,1,735,385,313,37
0,3,3,339,1,630,349,255,26
0,3,3,340,1,787,410,362,15
0,3,3,341,1,821,401,411,9
0,3,3,342,1,562,273,280,9
0,3,3,343,1,1164,480,672,12
0,3,3,344,1,1179,620,506,53
0,3,3,345,1,868,544,286,38
0,3,3,346,1,805,505,285,15
0,3,3,347,1,1041,647,357,37
0,3,3,348,1,1140,614,492,34
0,3,3,349,1,444,240,189,15
0,3,3,350,1,681,426,244,11
0,3,3,351,1,836,491,321,24
0,3,3,352,1,659,380,268,11
0,3,3,353,1,806,465,317,24
0,3,3,354,1,717,438,261,18
0,3,3,355,1,935,528,378,29
0,3,3,356,1,421,259,156,6
0,3,3,357,1,841,464,344,33
0,3,3,358,1,890,544,325,21
0,3,3,359,1,988,551,413,24
0,3,3,360,1,1182,657,493,32
0,3,3,361,1,1372,796,552,24
0,3,3,362,1,761,407,339,15
0,3,3,363,1,1074,665,383,26
0,3,3,364,1,663,393,254,16
0,3,3,365,1,901,534,343,24
0,3,3,366,1,1296,756,509,31
0,3,3,367,1,1079,714,342,23
0,3,3,368,1,400,263,122,15
0,3,3,369,1,41,11,29,1
0,3,3,370,1,508,287,217,4
0,3,3,371,1,778,499,260,19
0,3,3,372,1,1114,841,247,26
